,st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
42,48,1968,Texas,TX,3079,1267,1228,0.4921843707561493,0.5078156590461731,14368.9619140625,1.4368962049484253
43,49,1968,Utah,UT,423,157,239,0.6035353541374207,0.39646464586257935,13223.20703125,1.3223206996917725
44,50,1968,Vermont,VT,161,70,85,0.5483871102333069,0.4516128897666931,14407.4384765625,1.4407438039779663
45,51,1968,Virginia,VA,1361,442,590,0.5717054009437561,0.4282945692539215,15194.076171875,1.5194076299667358
46,53,1968,Washington,WA,1304,616,589,0.4887966811656952,0.5112033486366272,17451.384765625,1.7451385259628296
47,54,1968,West Virginia,WV,754,374,308,0.4516128897666931,0.5483871102333069,11919.26953125,1.1919269561767578
48,55,1968,Wisconsin,WI,1692,749,810,0.5195637941360474,0.48043617606163025,16014.9150390625,1.6014914512634277
49,56,1968,Wyoming,WY,127,45,71,0.6120689511299133,0.38793104887008667,15249.6533203125,1.5249652862548828
50,1,1972,Alabama,AL,1006,257,729,0.7393509149551392,0.26064908504486084,13216.3857421875,1.321638584136963
51,2,1972,Alaska,AK,95,33,55,0.625,0.375,22356.373046875,2.2356371879577637
52,4,1972,Arizona,AZ,654,199,403,0.6694352030754089,0.33056479692459106,16834.845703125,1.6834845542907715
53,5,1972,Arkansas,AR,648,199,446,0.6914728879928589,0.3085271418094635,12747.1865234375,1.2747186422348022
54,6,1972,California,CA,8368,3476,4602,0.5696954727172852,0.43030452728271484,20472.072265625,2.0472071170806885
55,8,1972,Colorado,CO,954,330,597,0.6440129280090332,0.3559870421886444,17964.67578125,1.7964675426483154
56,9,1972,Connecticut,CT,1384,555,811,0.5937042236328125,0.4062957465648651,21372.93359375,2.1372933387756348
57,10,1972,Delaware,DE,236,92,140,0.6034482717514038,0.3965517282485962,19886.51171875,1.988651156425476
58,12,1972,Florida,FL,2583,718,1858,0.7212733030319214,0.2787266969680786,17668.140625,1.766814112663269
59,13,1972,Georgia,GA,1175,290,881,0.7523484230041504,0.2476515769958496,15100.6865234375,1.510068655014038
60,15,1972,Hawaii,HI,270,101,169,0.6259258985519409,0.3740740716457367,21346.658203125,2.1346657276153564
61,16,1972,Idaho,ID,310,81,199,0.7107142806053162,0.28928571939468384,15461.03125,1.5461031198501587
62,17,1972,Illinois,IL,4723,1913,2788,0.5930653214454651,0.4069347083568573,19755.13671875,1.9755136966705322
63,18,1972,Indiana,IN,2126,709,1405,0.6646168231964111,0.3353831470012665,16620.890625,1.6620891094207764
64,19,1972,Iowa,IA,1226,496,706,0.5873544216156006,0.4126455783843994,16842.3515625,1.6842352151870728
65,20,1972,Kansas,KS,916,270,620,0.6966292262077332,0.30337077379226685,17326.564453125,1.732656478881836
66,21,1972,Kentucky,KY,1067,371,676,0.6456542611122131,0.35434573888778687,13873.263671875,1.3873263597488403
67,22,1972,Louisiana,LA,1051,298,687,0.6974619030952454,0.30253806710243225,13430.33984375,1.343034029006958
68,23,1972,Maine,ME,417,161,256,0.6139088869094849,0.38609111309051514,14485.0986328125,1.4485098123550415
69,24,1972,Maryland,MD,1354,506,829,0.6209737658500671,0.3790262043476105,19826.455078125,1.9826455116271973
70,25,1972,Massachusetts,MA,2459,1333,1112,0.45480573177337646,0.5451942682266235,19177.083984375,1.917708396911621
71,26,1972,Michigan,MI,3490,1459,1962,0.5735164880752563,0.42648348212242126,18644.07421875,1.8644074201583862
72,27,1972,Minnesota,MN,1742,802,898,0.5282353162765503,0.4717647135257721,17322.810546875,1.7322810888290405
73,28,1972,Mississippi,MS,646,127,505,0.7990506291389465,0.20094937086105347,11962.6865234375,1.1962686777114868
74,29,1972,Missouri,MO,1853,699,1154,0.6227738857269287,0.3772261142730713,16695.962890625,1.6695963144302368
75,30,1972,Montana,MT,318,120,184,0.6052631735801697,0.3947368562221527,16260.5458984375,1.6260546445846558
76,31,1972,Nebraska,NE,576,170,406,0.7048611044883728,0.2951388955116272,16992.49609375,1.6992496252059937
77,32,1972,Nevada,NV,182,66,116,0.6373626589775085,0.36263737082481384,20892.474609375,2.089247465133667
78,33,1972,New Hampshire,NH,334,116,214,0.6484848260879517,0.35151514410972595,16587.107421875,1.6587107181549072
79,34,1972,New Jersey,NJ,2997,1102,1846,0.626187264919281,0.3738127648830414,20716.0546875,2.0716054439544678
80,35,1972,New Mexico,NM,386,141,236,0.6259946823120117,0.3740053176879883,14083.46484375,1.4083465337753296
81,36,1972,New York,NY,7162,2951,4193,0.5869261026382446,0.41307389736175537,20753.591796875,2.0753591060638428
82,37,1972,North Carolina,NC,1519,439,1055,0.7061579823493958,0.29384204745292664,14578.9384765625,1.4578938484191895
83,38,1972,North Dakota,ND,281,100,174,0.6350364685058594,0.36496350169181824,16470.74609375,1.647074580192566
84,39,1972,Ohio,OH,4095,1559,2442,0.6103473901748657,0.3896525800228119,17585.5625,1.7585562467575073
85,40,1972,Oklahoma,OK,1030,247,759,0.7544731497764587,0.24552683532238007,15078.1650390625,1.5078165531158447
86,41,1972,Oregon,OR,928,393,487,0.5534090995788574,0.4465909004211426,17285.275390625,1.728527545928955
87,42,1972,Pennsylvania,PA,4592,1797,2715,0.6017287373542786,0.39827126264572144,17566.794921875,1.7566795349121094
88,44,1972,Rhode Island,RI,416,195,220,0.5301204919815063,0.46987950801849365,17337.826171875,1.7337826490402222
89,45,1972,South Carolina,SC,678,189,478,0.7166416645050049,0.2833583354949951,13482.890625,1.3482890129089355
90,46,1972,South Dakota,SD,307,140,166,0.5424836874008179,0.4575163424015045,15277.10546875,1.5277105569839478
91,47,1972,Tennessee,TN,1201,357,813,0.6948717832565308,0.30512821674346924,14248.6220703125,1.424862265586853
92,48,1972,Texas,TX,3471,1154,2299,0.6657978296279907,0.3342021405696869,15693.75390625,1.5693753957748413
93,49,1972,Utah,UT,478,126,324,0.7200000286102295,0.2800000011920929,14939.2822265625,1.4939281940460205
94,50,1972,Vermont,VT,187,68,117,0.6324324607849121,0.3675675690174103,15588.6533203125,1.5588653087615967
95,51,1972,Virginia,VA,1457,439,988,0.69236159324646,0.30763840675354004,16834.845703125,1.6834845542907715
96,53,1972,Washington,WA,1471,568,837,0.5957295298576355,0.4042704701423645,17724.4453125,1.772444486618042
97,54,1972,West Virginia,WV,762,277,485,0.6364829540252686,0.36351704597473145,13786.9306640625,1.3786931037902832
98,55,1972,Wisconsin,WI,1853,810,989,0.5497498512268066,0.45025014877319336,17255.24609375,1.725524663925171
99,56,1972,Wyoming,WY,146,44,100,0.6944444179534912,0.3055555522441864,17600.576171875,1.7600575685501099
100,1,1976,Alabama,AL,1183,659,504,0.4333620071411133,0.5666379928588867,14647.67578125,1.464767575263977
101,2,1976,Alaska,AK,124,44,72,0.6206896305084229,0.37931033968925476,33434.3125,3.343431234359741
102,4,1976,Arizona,AZ,743,296,419,0.5860139727592468,0.4139860272407532,16740.595703125,1.6740596294403076
103,5,1976,Arkansas,AR,769,500,269,0.34980493783950806,0.6501950621604919,14209.23828125,1.4209238290786743
104,6,1976,California,CA,7867,3742,3882,0.509181559085846,0.49081847071647644,21577.1953125,2.157719612121582
105,8,1976,Colorado,CO,1081,460,584,0.5593869686126709,0.4406130313873291,18998.962890625,1.899896264076233
106,9,1976,Connecticut,CT,1382,648,719,0.5259692668914795,0.4740307331085205,21737.12890625,2.173712968826294
107,10,1976,Delaware,DE,236,123,110,0.4721029996871948,0.5278970003128052,20259.126953125,2.0259127616882324
108,12,1976,Florida,FL,3151,1636,1470,0.4732775390148163,0.5267224907875061,17562.3203125,1.7562320232391357
109,13,1976,Georgia,GA,1467,979,484,0.3308270573616028,0.6691729426383972,15684.484375,1.5684484243392944
110,15,1976,Hawaii,HI,291,147,140,0.4878048896789551,0.5121951103210449,21759.189453125,2.1759190559387207
111,16,1976,Idaho,ID,341,127,204,0.616314172744751,0.38368579745292664,16787.47265625,1.678747296333313
